  Year 1  ,  Year 2  ,  Year 3  ,  Year 4  ,  Year 5  
238651,241810,13808,200188,0
224579,204081,31492,199748,33575
454024,240278,252433,200427,0
251872,210871,350948,199702,56746
152123,251834,53473,199762,0
149777,171043,24991,199901,25128
386221,311169,2728,200110,69902
349746,218465,305174,200301,40733
103770,337021,78396,199468,62688
176944,343602,10167,200000,166176
463676,164001,15315,199306,0
346363,262751,231807,200403,112402
176898,261477,390019,200017,91990
0,198234,169310,200140,48856
200516,175575,46340,200712,0
129296,349069,264375,199819,164723
198687,290208,497376,199583,154804
217933,172248,478830,200049,24401
208029,196109,191798,199998,0
118207,292775,1435,200330,25797
4698,225440,499509,200696,42066
197538,291268,347851,200300,0
10125,340540,360988,199692,75217
0,176978,30210,200674,217350
150786,180677,449883,200239,43749
158608,305653,185033,200281,64160
66921,273421,15789,200036,0
151860,271547,397223,199577,0
242380,273722,227045,199969,100926
137083,170571,374816,199558,57860
271867,297174,433206,200091,32055
183167,151695,283902,199935,97801
153130,286914,189336,199969,33322
203114,260144,332480,200562,0
71096,229199,49559,199884,149957
107266,267008,45198,199864,0
380875,304021,486795,200353,106216
241659,304144,82812,199890,88859
34237,217721,17447,199648,288999
41540,261856,316805,200406,256441
151937,226697,13648,200046,0
275423,262460,488374,199979,85270
251419,207522,193764,200769,136911
90893,227148,2059,199785,48988
235574,195122,284443,199506,67769
147911,246773,494476,200189,106609
231742,153307,428906,200086,182946
76618,295509,431935,200294,0
162276,273933,183107,199808,9727
0,332596,385908,200080,27543
175854,344929,315695,199912,251485
173432,168916,105570,199797,0
387112,256115,375043,200525,61921
279113,170165,3474,200417,182767
366008,332198,284343,199384,0
173623,261510,448404,199159,0
249192,250120,214617,200480,0
126636,184028,460771,200550,0
273903,327894,35028,199294,152213
266367,318997,495788,199625,9006
100432,292259,491310,200281,35459
285506,300874,1602,199839,0
160529,337878,219104,200415,177443
225798,338783,65461,200088,0
226842,214924,27288,200348,75804
187575,323852,413161,200185,150420
172392,166033,293009,200362,75354
291523,254154,237,199262,129129
293781,180225,300901,199537,0
302450,317726,26133,199979,145912
131782,345640,36953,200166,151432
259958,300550,96703,199985,277408
142748,150459,494694,199977,9542
418018,210684,285869,199706,77961
166493,285107,138721,200596,142916
42816,305679,251365,200116,40045
124287,322867,69311,199219,200171
192615,185907,255492,200173,129232
196521,227780,392843,200343,204441
233555,156249,119962,199866,0
238706,312332,372176,200005,219291
229576,302024,204856,199958,134698
267963,320516,293575,199970,187198
97261,294735,478977,199800,241050
141069,324990,152928,199529,0
229362,227305,420380,199413,80403
173890,186542,480857,200044,191970
36410,160801,286255,199947,0
201156,157182,78247,200275,0
95199,234639,117916,199668,117169
171838,165479,437637,199977,83863
273028,153645,373737,200318,0
0,238912,397073,200278,110643
201422,312356,210305,199157,103446
247660,333665,215455,199786,61920
116729,260105,496047,199383,116728
235367,259573,2758,200213,100438
269627,311697,307018,200467,52258
217051,239709,149091,199865,0
331832,196141,31629,200163,210249
385629,281558,384036,199542,137927
427927,220109,489252,200222,58993
149092,160712,491977,200009,66194
277958,242637,104962,199920,214324
168763,242229,162625,199361,0
291226,169870,490652,200021,119344
371948,348521,147490,200220,229004
9042,206695,115101,200162,0
304933,321295,423531,199491,0
0,276934,275017,199997,47153
221182,347698,184542,199335,0
329520,233422,22568,200093,0
127573,167969,485102,200095,63082
317188,290845,474100,199749,0
191134,218739,33805,200136,0
130225,231454,35311,199418,286957
231319,235669,499866,199777,203117
106959,236009,155836,200071,6108
57954,338754,490540,199589,0
286191,164475,374895,199859,0
209356,164565,215445,199636,80135
304273,319954,162741,200267,108129
85319,192964,218011,199874,164757
278687,204265,237666,200879,152485
197783,267215,7899,200089,99761
209679,305791,166289,199843,0
257046,158058,84748,200073,134996
103061,321305,474041,199991,154934
211512,184197,409409,199714,133309
140186,293284,421692,200000,70646
204982,327716,81959,199377,199529
288154,190582,62783,199520,182531
77492,162070,298656,200248,199592
203503,163527,117186,200512,38989
47913,331485,44959,199978,0
193486,256961,376497,199768,162734
214235,290618,66992,199349,182538
233459,163839,382926,199478,211206
145425,281614,42875,199994,109452
68524,287102,36914,200356,161304
29412,287970,82820,200224,0
236570,166674,491633,200014,0
244208,269603,63696,199534,120165
237515,344427,169661,200834,0
0,260803,34160,200054,78185
26980,303717,207648,199628,75531
352305,186510,479780,200520,42124
173224,221520,426418,199609,0
267274,327232,498608,199752,31777
69418,186034,31207,199592,0
357414,294752,459995,199277,35894
211939,265900,115574,199507,109051
118324,307400,489925,199864,0
250893,254225,379983,200080,0
226256,151485,467459,199744,166115
232360,304475,404937,199549,115078
271376,226472,106421,199855,196252
61501,309818,496028,199643,73683
392881,176314,167212,200058,0
263576,298432,97801,199269,130012
198444,310175,383034,200804,0
209258,190398,487926,199919,22045
99904,230807,9532,199533,0
460365,195443,202842,200227,170466
244264,315763,436609,199759,46719
94216,242462,39623,200099,73957
248115,333632,20794,199730,84032
83729,216157,489406,200122,0
178728,270700,7527,200660,120229
217758,180429,66066,199866,35615
189931,222500,159352,200908,0
123824,234437,1734,200862,0
127284,317473,181610,200204,42843
246226,334669,58295,199466,93200
157777,340438,441574,200096,158543
120987,289390,12128,199632,0
136184,229733,158145,199976,65560
282994,248661,1685,200285,216690
348803,272271,422356,199996,11142
201684,205655,82069,200194,127010
176300,234896,41448,200665,53970
11455,234793,285623,200773,56361
233729,246683,499790,199248,0
228788,282090,358024,200099,103084
178721,266569,324542,199663,0
259597,214744,373811,200665,797
102075,163424,499982,200542,0
199033,217747,1823,200032,61633
288829,274224,436315,199403,71133
192088,333315,108380,200003,122121
231863,282589,355087,199861,160330
163324,297202,93031,199803,158901
131108,303898,367015,199710,18824
39794,214447,125222,199763,138813
259955,150562,325714,199738,0
247573,257974,418895,200366,35605
242964,220372,83656,200973,162198
191572,157040,420905,200144,0
211196,287891,338574,199863,118136
218786,252095,98768,200759,27316
162702,188036,3944,199652,131055
179506,306327,284258,199801,53382
163740,332834,45740,200976,170903
245114,301374,363277,200269,29282
235714,308550,356001,199565,163771
308795,336142,105737,200204,158281
99582,153799,176099,199450,88279
0,291157,39601,200110,109871
327116,332442,349373,199803,86467
260307,258725,182692,200916,0
193484,313915,418891,199247,18991
300814,184714,304646,199232,0
128150,226107,7647,199824,0
283922,154033,257944,199453,12177
115712,340926,14268,200036,78626
378830,326010,405082,200819,65512
160817,335923,117867,200222,212556
153831,287358,421447,199322,33591
269562,282033,469552,200727,0
299105,340933,10422,201016,112806
43914,330512,191728,200049,211221
330889,299016,17009,199604,56617
184083,290097,252955,200067,75061
419964,273607,119139,200172,117070
54389,249219,442729,199870,0
348315,291326,161547,200166,107605
334444,206263,22848,199691,26594
211106,255582,5269,199761,20987
160160,177240,18138,200390,85415
276960,258618,408324,200212,109279
293271,297750,34129,199891,147777
223466,158860,62821,199586,115965
74525,340488,26311,199926,95435
218970,210461,478883,199806,60499
167897,299583,399307,199272,223436
87687,153837,392385,200237,163915
275092,180664,373303,199600,0
269254,247378,481912,200142,65942
240198,237035,433314,200162,145926
211173,259014,478845,199838,201169
50579,177253,218576,199929,146322
277191,344561,1332,199594,2796
257461,220166,70242,200053,105835
202017,281521,81812,200235,21809
287491,317128,185723,200660,119198
129391,226361,481133,200335,0
81091,266039,498255,200402,0
67329,158321,114248,200225,0
110091,182920,186,199248,0
29344,233647,140983,200068,146258
150822,341686,198379,199550,211141
139492,194805,69740,200179,83123
264039,243679,442037,200597,75227
261484,157162,224163,199467,26118
131328,223712,499843,200216,38442
96311,340315,102883,200557,15406
8195,334242,461866,200024,48542
147862,327322,42159,199754,57732
376033,274615,397248,200297,0
206024,331924,7633,199488,97574
211140,194803,10502,199790,0
256436,213118,249554,200569,78954
109155,298172,459247,199698,102198
205101,157650,298049,200184,46924
284533,250493,198295,199304,0
276604,160304,6372,200300,11789
283069,240518,478370,200485,221444
6831,277885,52380,199548,108505
182972,180138,294768,200733,0
0,300362,250659,200239,0
0,174268,31678,199463,164707
239959,152180,151978,200504,134584
194469,287492,470836,199640,0
414445,240959,314654,199723,86122
205672,320841,3378,199674,132149
188676,188894,494109,199433,217469
271122,347308,47464,200226,0
113184,200965,101498,200139,105254
196434,172232,44185,199784,24750
150094,231535,184394,199694,88944
208129,205708,315732,199696,116124
294720,200999,110691,200659,0
90825,209989,323816,200195,0
0,254928,71699,199873,0
422698,241229,328831,200187,55762
167904,283131,10536,198956,0
45344,343657,267909,200021,187582
183009,268126,494328,200580,0
198723,157113,3545,199852,118418
158966,331439,339087,200328,5425
217692,315823,405062,199891,73093
43342,192425,124023,200394,42254
333343,302408,126361,200269,71138
175770,183580,194675,200496,83041
132178,311551,467863,200332,0
202434,202820,314265,199516,0
135315,277631,479931,200356,268032
37951,319575,47208,200837,8366
164421,153407,432615,199525,48237
68522,218818,4860,200800,150936
256852,300114,91608,200025,68471
336345,329083,68398,200352,0
236938,244547,436699,199651,21750
277829,229576,177418,199889,162045
0,337714,448484,200121,153757
318865,196672,99427,199889,69027
0,185615,199151,200275,157345
156678,279691,29132,200422,0
292368,244292,497905,200128,0
180274,204097,258009,200542,80091
442501,264945,219887,199919,189152
122703,298511,368456,200317,166240
281805,155054,337597,199690,0
234290,161252,209049,199706,65974
123073,228472,475492,200489,92833
182119,287204,453461,199953,1837
83017,339163,400585,200305,9896
82653,290698,289489,199864,0
106930,288617,36946,200017,0
0,322765,24082,200558,144950
133909,176633,258888,200230,0
174201,326460,496670,199497,96756
30387,296833,131523,200380,123638
214235,156434,258853,199697,0
95513,235604,300124,199481,98283
195798,180513,9418,199751,42804
113809,341693,147858,199983,13830
172826,188540,160767,200334,0
135257,323827,14581,200186,31556
296426,189408,371967,200724,180342
104623,226124,145623,200584,183912
116786,286510,449491,199376,0
358455,199488,319405,199995,0
156430,219020,40059,200445,58029
145770,252459,178340,200186,44313
27539,296177,475624,199606,318431
268338,158113,450444,200225,204883
267425,233652,5804,200210,196990
33470,170243,57303,199703,0
158585,320188,410989,200652,64586
180143,245328,310612,200162,0
267525,206866,67891,199551,135479
234384,310676,131480,200029,32019
140990,236586,333619,199869,35152
302549,287544,13138,200194,179323
186738,257390,499332,200219,28468
60549,207450,189980,200045,0
185456,151246,69613,200973,0
97073,337447,375637,199672,306208
184679,270838,405751,199342,121369
123655,155507,101658,200121,69967
103876,309043,127535,199875,74428
248727,312810,400399,200125,169623
148644,289742,47485,200224,60675
86153,170578,398368,199783,0
67253,335689,7614,199852,0
228397,322656,488588,200214,283333
353190,315007,70577,200133,42710
193822,259752,495817,199440,291771
291079,151444,117789,200009,24900
117906,276493,21322,200454,134974
175091,188645,28929,199552,0
210391,343448,140388,200165,0
295428,287296,302339,199552,176611
262808,298733,498976,200442,171317
259172,247955,52129,199701,91111
175307,277243,464288,199799,99194
132467,253702,28710,200462,92696
358359,242104,494643,199530,96171
76835,326972,183157,199915,41900
0,234643,253012,200546,11965
50377,334332,303317,200199,22690
277473,196541,425361,199840,178834
122824,283133,372187,199962,98708
355844,343995,452165,200525,0
210769,343596,35237,200512,152974
254318,220860,219574,199746,123205
156432,262277,2086,200815,107668
199626,261679,349759,200457,161709
386917,280985,374313,199373,0
194939,186177,43147,199290,21569
287389,209722,56738,200109,0
47835,235867,370440,200057,154102
134519,234033,465702,199362,117452
130619,214830,466598,199698,61201
200823,298416,44128,200369,0
268238,164096,477098,199865,38799
32506,249231,312356,200058,0
230566,151695,290475,200176,55612
142049,177512,88361,199380,113705
49397,198530,42937,200019,50056
293924,326986,87619,200262,0
221292,225247,172494,200431,103811
146130,150096,8942,199895,80984
111502,151777,491387,199974,89081
316433,316986,152,200520,0
383621,287879,235629,200178,43586
156447,293003,488587,200828,213319
128149,216057,205,200108,0
178395,225430,72901,199960,90967
131968,208677,316977,200519,0
397721,322697,72649,199918,68292
347369,219502,33449,200268,137054
152930,192706,13552,200139,103014
89155,317022,366541,200223,68443
346648,208998,83419,199929,136003
230305,174286,18133,200324,208960
320633,274479,320574,201068,229199
332624,158275,497790,200389,0
86661,228036,398996,200520,0
101477,185232,494722,199992,105056
280630,322475,19657,200789,10665
82086,263861,1066,199770,38327
91361,325786,23602,200081,78060
314115,157523,69692,200368,36146
186091,191856,308616,200472,31074
217359,334462,915,200516,21618
229964,301257,375650,199975,93426
100407,266857,432224,199644,0
133238,243593,2717,199618,0
178710,288464,497328,199612,4682
107650,177749,468415,199692,101102
298153,262931,1443,199482,86694
175165,245687,156980,200041,194253
384242,286545,39216,199932,0
97005,262467,239819,199509,207702
272790,323245,178513,200647,25164
53072,172059,64580,200294,100975
268626,325487,206360,199807,105361
244500,258406,499115,200416,79219
270100,205317,133872,200197,0
124156,212240,483052,200007,0
222713,245329,495316,199482,0
260080,243055,495506,200656,67663
190839,226186,60918,199780,164179
209753,282791,51730,200196,219432
207110,165755,327104,199964,30623
306430,292678,11167,199697,0
145611,187115,196261,199913,237500
128937,289830,3489,199483,0
101915,265784,497945,199975,0
23650,201948,15630,199365,67833
285291,338771,202036,200395,0
359047,270662,310199,200005,141752
131865,296216,154742,199508,0
246995,282550,268784,200231,142965
98386,315219,452816,200078,15700
115745,176658,30431,200331,29696
204687,347931,5288,199821,0
259097,170817,1625,199649,0
158788,333922,54963,200232,56029
93039,319746,55487,199587,142973
189963,172616,405667,199850,0
168461,253609,164575,200314,0
227673,340272,15926,199662,22875
339274,201949,380382,199596,113104
345960,255019,163778,200552,61413
290894,299919,11382,199479,0
73066,343404,38752,199994,0
268277,190123,409941,200623,127723
55508,165643,450425,199496,0
318633,242654,413334,199420,119412
255042,196956,359463,199380,67799
208856,165692,325483,199953,0
133471,219796,499655,200178,0
158550,166760,217,199285,191219
278817,340456,346181,199416,221222
94562,302787,362313,200131,0
170157,271514,494081,200199,206740
33783,265381,35489,199628,137875
185039,212234,30255,199771,167110
42308,241979,481189,199909,0
225057,181077,251752,200540,131273
228941,215785,477457,198949,0
231169,286163,231156,199847,50409
126101,339582,468694,199447,68992
152426,304597,490759,199402,67858
2499,270361,499977,200578,0
247131,232392,85681,199421,0
211540,242252,351855,199934,0
256952,338258,64533,200135,69723
288419,262453,96809,199846,155533
81163,274130,487665,199960,0
114738,307440,468425,199314,89320
251449,305029,33286,199788,23788
133277,203001,155300,200073,0
200933,293449,204212,200048,31239
188160,167986,168342,199918,98863
90951,254802,459422,199880,0
249808,188831,496174,199800,2984
210927,221783,3354,199218,0
132093,310004,9153,199471,51427
100902,192134,265044,199482,122008
227371,168145,193,199888,31961
243733,342123,479765,199931,0
244222,160338,98378,199832,0
139153,315309,80279,200267,80605
305943,294242,185764,199570,50470
204986,241086,447407,199958,162514
275028,311231,14539,200585,0
189076,174024,379216,200261,110201
213501,295066,187311,200143,0
100402,274543,415588,199820,21705
23432,321722,386517,199962,185130
275488,249937,499980,200642,48077
192420,156781,368496,200189,153518
149907,196948,14234,199360,86455
153361,306997,171202,200192,155816
108057,197866,57898,200597,97134
86307,227859,263649,200504,117447
270024,288249,104992,200071,0
303735,191812,329331,199107,150936
175316,304782,104654,199553,65764
47851,325207,373990,199530,148757
185485,301976,206476,200232,0
280828,335847,413304,200015,96227
264490,181951,106756,199654,62363
216096,195604,2305,199954,181022
366548,203302,78942,200065,105072
239027,337357,217748,200298,104000
107861,328075,244347,200054,159680
301767,197082,455341,199831,17368
285819,224228,82534,200256,159530
75795,284648,279102,200582,117014
415067,264572,467585,199807,0
234862,255166,138537,199116,16527
301571,333534,493745,200065,56835
173506,220685,487516,200258,76888
250604,294080,488669,200164,10859
273122,347814,8708,200269,109327
362541,221438,369135,199760,95355
273551,229363,492715,199671,0
142905,331360,13040,200075,196948
132248,285576,248061,200402,185538
38526,247067,423854,199819,125609
241293,309002,22633,199961,0
274001,276184,479529,199828,24749
97423,325891,478327,200482,62601
101226,191767,10798,200052,130195
167931,153371,487030,199646,205466
166930,197759,95836,200321,79826
123444,292200,9646,199561,27817
173429,319002,498459,200494,121932
169448,225402,443480,200295,0
64834,348262,25046,200143,0
170301,309333,499986,200122,14620
306884,160974,1666,199941,0
269281,241385,234711,200185,81564
52284,175275,19908,199753,7114
143831,348312,487462,199941,0
210521,211999,192201,200072,71665
382195,310082,486533,200268,0
231644,255417,297976,200201,18443
164076,237874,420019,200795,0
16517,271025,413771,200635,3316
159788,301761,477658,199962,1487
208775,282411,452110,200183,38679
87356,234999,128471,199159,74686
157904,249845,96273,200391,0
183989,248252,90012,200382,0
219826,263221,248493,199620,135280
98452,337487,413027,199639,122211
101791,156073,3974,200016,51173
188704,223114,2040,200037,148074
203892,253141,437501,200216,48087
333285,176019,29106,199980,77363
232035,309532,348712,200077,0
84302,224970,91,199146,0
196096,322259,362566,200660,24341
161186,314820,5917,199669,36898
123753,260972,136786,199896,84884
225544,339858,402149,200200,0
157565,169924,445087,200033,0
183838,348485,165885,199722,0
172210,345134,205751,200063,0
143787,229235,490810,200120,91193
154837,219533,127068,199953,125959
279392,312706,18806,200071,175995
335251,197356,128114,200046,145916
120290,187549,95148,199750,0
261818,151200,120000,199914,303912
118550,294786,31605,200519,69071
91284,218084,375255,199628,147184
171345,337852,499206,199871,100281
264237,342076,27759,199806,0
383734,314500,39255,200351,23915
163783,337081,478875,198917,19249
419065,284951,313473,199831,49139
185425,182823,92884,200169,0
211496,227834,245349,199300,6535
211749,184058,162161,200191,0
201710,203418,36883,200278,25555
268458,290106,4896,200113,159377
243022,326179,43809,199976,16120
157054,335398,243269,199524,0
84946,248425,438005,200514,0
383732,269740,467229,199617,172220
353022,221921,136402,200222,119817
199979,191347,1006,199680,0
69769,341377,207693,199313,191936
328090,294989,322568,199562,78096
177487,205080,221653,200020,0
170731,304709,323511,200735,37814
323837,329807,314719,200237,0
85787,187870,28,199837,59561
0,185654,48254,199797,99049
87098,170351,67178,199684,160182
115767,299204,480921,200796,39003
145649,153129,220678,200360,141089
94367,172751,20898,199679,0
217335,185085,109387,199495,35842
112164,168534,10942,200053,228407
224107,238711,29202,199623,91738
164178,329819,493364,199394,0
340660,341644,460569,200302,18312
162374,212511,427743,199864,75247
128009,239929,269791,200404,71615
279948,259118,111724,199422,175058
83392,218581,465241,200184,0
209299,185286,145911,200902,7610
247757,306264,6203,199311,0
301526,301439,29631,199583,39293
256969,308866,349172,200244,17961
140814,223349,425287,200179,0
216793,202224,7177,200686,0
154421,312919,1090,200011,62394
70055,266648,87182,199463,0
194424,308203,487146,200542,195082
259132,300909,47002,199996,0
64924,253103,105974,200003,117462
260811,170933,48370,200184,147663
68319,316185,466520,199692,0
110714,305678,411890,200429,1176
92062,185539,116819,200292,16644
226521,232604,91974,199879,132888
228009,315269,183019,200234,21895
156013,200208,13037,199833,132227
215830,192161,53418,199660,88335
166111,168390,185225,199753,215544
125285,186748,32931,201113,0
310342,270359,479743,200111,52597
325595,203238,499754,200648,521
107808,290649,457187,200232,98794
298642,318210,455238,199648,0
78836,155403,370694,201219,38768
209723,238911,338647,200680,37738
166232,153164,165842,199535,22066
195278,190660,483583,199533,116846
314194,190019,244663,200281,82080
294130,271216,116420,200345,312300
39635,318218,494205,199844,0
190922,252767,17124,199733,0
160705,302570,377126,199863,0
289978,320039,8561,199881,44760
280753,155950,490416,200068,26870
186740,301457,83156,199621,110541
158951,162963,319795,200396,79236
110109,152667,44760,199470,0
306380,252143,189373,199976,252415
166522,294468,7029,200299,48261
296192,219281,432793,200450,61295
143739,268004,357018,199799,227477
76686,325945,297317,199994,176915
129188,198996,262203,199317,2474
50529,318620,358962,200352,0
28670,341683,10015,199874,248249
310860,185237,229335,199968,0
205766,257388,457906,199740,62134
93272,220582,475510,200813,113394
360941,182777,442585,199938,0
161835,229288,290801,200642,128297
70565,265481,23510,199957,196682
193558,209262,496804,200484,10635
173024,184953,346021,200386,90600
100731,156738,460220,199690,60763
49300,292095,70940,199312,0
78235,274149,428154,200197,15883
164623,300728,434717,199636,0
256273,300515,357230,199700,0
0,154382,345225,199879,83388
225094,182272,104987,200082,19482
226978,319069,15151,200381,29219
188734,340378,498227,199839,42511
380576,202718,455486,200374,69168
152593,336427,114025,199470,0
247071,189037,24093,199799,189445
194062,199371,148324,199713,132124
330680,257009,31215,199717,0
187775,173502,454877,200059,105805
122992,172428,108157,199707,0
307075,288939,255656,200621,0
41110,260044,491993,199082,206500
384902,253578,92236,200204,130258
253200,252940,14285,200242,0
168462,276996,354490,200310,0
12857,336877,85488,200060,0
0,276225,343652,199846,26724
414451,324749,88676,200277,138747
183664,234965,21941,200139,232341
229847,155547,214061,200181,0
242585,283979,127963,200463,27968
220766,209032,156,200264,49619
125533,182255,312922,199482,69694
347309,178094,355051,200330,87545
222377,208247,8269,199769,15816
312643,248027,475901,200490,0
261314,263944,471987,199677,142091
202537,215379,381012,199953,178870
101375,226623,319718,199227,34784
263708,226617,416313,199982,60188
133242,164063,245556,199677,0
278696,169306,247596,200152,0
72581,228483,300471,200084,0
189486,214013,144520,200240,0
63522,309564,147201,200381,0
305186,222832,460317,199855,0
358713,338300,10,200282,91556
314717,287263,405638,199967,61028
500219,201415,390592,200258,0
76847,324898,250751,199983,15907
242214,292899,489748,200259,17468
269040,266056,225838,200365,197073
182555,170397,490963,199425,238004
150129,253176,17689,200118,73795
254307,163618,233047,200288,2244
268657,249886,491514,199444,31620
187023,290407,41898,200161,138160
160212,214685,11547,199916,10838
209715,298772,498828,200595,58369
384832,247710,465357,200080,83872
272482,268605,47942,199734,0
170184,285009,322839,199907,186526
166716,188953,140587,200632,0
0,302881,217621,199550,113985
357474,348458,20578,200400,231344
177669,312652,8232,200373,200580
273734,332635,480324,199865,133854
46581,347877,400581,200354,70474
250806,269979,65363,200155,99362
254060,256879,2331,199342,22251
125435,190254,410281,199898,0
299272,192926,473342,199732,194093
241029,277043,31767,199992,0
351682,224515,169386,200175,0
131224,308771,499038,199933,14845
417580,327852,236994,200781,17443
93177,233113,118779,199707,148408
119950,162182,10728,200231,71047
0,252324,1268,199919,0
215046,338375,49843,199590,0
162815,319187,13520,200488,148253
363277,326412,283430,200155,13613
281032,192954,415676,199466,75152
145242,234724,383428,199445,0
84108,275167,94865,200254,86352
90484,315262,63496,200059,12906
206178,152663,47588,200293,17380
204283,243002,24136,200459,0
160175,223531,289582,200040,0
132086,194966,140589,200418,83148
143987,223566,385840,200053,229823
103524,219670,399316,199801,132935
126740,290797,139919,200424,43438
86290,211363,93426,199891,87763
200702,205759,397419,199553,272335
339027,164183,145780,199546,0
208399,160883,10265,199782,75229
12215,176462,135171,200243,0
374399,293878,144,200301,77531
213495,315182,29541,199820,270211
319976,324802,396063,200208,85406
276385,254867,58288,199889,178627
94672,298598,474126,199733,242229
335435,338435,387588,199729,73902
160234,325240,436261,199415,160890
102273,192427,438348,200115,70899
239844,170136,117169,199879,108013
271436,257739,1640,199880,81509
180445,246283,20799,200858,4815
192166,282703,213,199626,0
204986,240465,499109,199725,5807
320904,240804,468267,200348,0
190088,247501,215499,200009,57786
293805,257064,171610,200235,198786
80172,224594,499288,200013,208011
187918,274274,458142,200450,0
142876,325199,451620,199842,0
166225,257659,378396,200259,103252
204909,229679,18645,199767,121278
172966,348566,438181,199525,122401
27827,326147,255890,200225,0
48630,210280,207064,199940,56024
0,180576,303902,200224,168447
340349,195152,157432,200633,29725
142109,307972,406391,200249,186710
199564,236964,182905,199687,0
240637,296005,311671,199959,119462
296161,171965,278034,199865,0
126987,298749,374938,200319,227673
305524,287106,36959,200578,43471
224162,167508,157425,199588,100233
177017,230050,52848,199985,124392
222413,276744,5,200580,0
235481,246364,192553,199913,96983
224999,199668,207306,199806,0
184115,332299,156882,200557,91126
313332,308218,27483,199880,91183
207052,300988,433156,200235,37481
104862,312946,171482,199702,84668
224331,332957,338780,199494,32617
12073,194163,148653,199396,205619
248529,330272,429689,199460,23379
174888,322510,59897,199929,120752
245506,250892,283518,199795,261350
212287,170651,16449,200437,161977
368445,313285,383307,200436,262727
88142,306816,420581,199432,117404
135751,348084,208189,199942,3195
108938,209017,42059,199917,145351
127953,317027,15850,199650,69379
341096,261083,334033,199946,71986
189839,312118,329194,200127,86151
166934,264809,223540,199896,157557
218722,239816,361763,200555,0
197237,294169,494020,199676,134782
86786,220804,63453,199926,59740
184350,347257,454445,199380,3670
254497,328364,466055,199617,136706
274335,244582,391101,200262,62947
80333,156513,7729,199799,181149
262691,280721,435824,199673,24696
116450,300364,274018,199782,75807
376528,313445,486669,200046,97718
355959,176790,29666,199984,80979
203442,219537,15994,199352,217956
72263,216993,884,199601,0
317570,171257,377023,199907,49577
0,298005,387840,199643,121306
311133,238413,25598,199313,0
7626,326533,77070,200032,139401
268564,349329,496663,200162,65978
182804,169611,148344,199488,70411
201209,269509,493695,200335,97921
148073,189539,497214,199535,78774
212827,164740,224049,199470,0
417678,273338,136356,200214,0
406453,291220,499096,200007,156637
179870,319604,484172,199871,107744
317703,193970,265094,199569,54881
87659,183278,474124,199384,104129
221087,290925,106304,200473,0
328016,156934,328902,200224,294115
241475,302617,88933,199576,297697
250960,322732,426856,199695,0
170194,289402,96180,199753,97379
206533,248191,499124,199970,159731
41812,300454,428473,199716,32104
212926,168631,427763,200186,5455
326131,227960,497971,200057,70019
44263,223210,9097,199752,77628
73415,166364,476754,200373,81164
171342,197439,21451,199975,225108
232168,265162,466344,199663,15639
266431,151148,468551,200073,0
0,174219,10356,200223,5502
53543,346507,364822,199636,0
142170,245948,16536,200277,0
94440,204048,224576,199892,29798
373686,256042,79767,199739,259468
105960,200055,378951,199192,214302
68115,150848,1073,200009,125282
95421,319883,122781,200714,71230
159046,181177,427032,200145,0
161337,227205,349732,200318,15579
